Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,33.70,34.30,33.20,33.30,33.587634601670097565,395426,1045,13281424.00,130798,33.08,1.10,-0.40
31-May-2017,33.00,33.90,32.80,33.75,33.653270495066550458,371748,966,12510536.00,210921,56.74,1.10,0.75
30-May-2017,32.95,33.00,32.30,32.65,32.617715540180947312,330704,945,10786809.00,145048,43.86,0.70,-0.30
29-May-2017,34.50,34.50,33.00,33.05,33.413966304328056891,329894,1084,11023067.00,152358,46.18,1.50,-1.45
26-May-2017,33.65,34.30,33.35,34.15,34.034591356347420706,370237,1207,12600865.00,173680,46.91,0.95,0.50
25-May-2017,32.50,33.90,32.45,33.55,33.306942019126192137,461566,1661,15373352.00,153257,33.20,1.45,1.05
24-May-2017,33.75,33.80,32.00,32.35,32.786991003229529281,636006,1656,20852723.00,280768,44.15,1.80,-1.40
23-May-2017,36.00,36.00,33.50,33.65,33.988941112980629994,707847,1904,24058970.00,294633,41.62,2.50,-2.35
22-May-2017,36.80,36.80,35.35,35.55,35.959037379866885164,347219,897,12485661.00,156646,45.11,1.45,-1.25
19-May-2017,37.45,37.45,35.45,36.25,36.322318987079299664,771630,6113,28027391.00,273776,35.48,2.00,-1.20
18-May-2017,37.90,37.95,36.60,36.80,37.331146838215391295,727801,6224,27169646.00,295960,40.66,1.35,-1.10
17-May-2017,39.20,39.60,38.00,38.05,38.615698575741366961,551515,5847,21297137.00,243477,44.15,1.60,-1.15
16-May-2017,38.00,39.40,37.15,38.95,38.318713492937410213,1919834,8902,73565569.00,609454,31.75,2.25,0.95
15-May-2017,38.70,38.80,37.65,37.75,38.175841612295887556,591157,5653,22567916.00,263768,44.62,1.15,-0.95
12-May-2017,39.20,39.20,38.10,38.30,38.517420944724430125,495065,5656,19068627.00,236236,47.72,1.10,-0.90
11-May-2017,39.10,39.60,38.70,38.85,38.996316581854780613,478903,1687,18675453.00,222031,46.36,0.90,-0.25
10-May-2017,39.70,39.90,38.90,39.10,39.242531188762344541,515410,1537,20225993.00,259944,50.43,1.00,-0.60
9-May-2017,39.15,40.90,39.10,39.35,39.882359476180986478,873126,2395,34822325.00,295284,33.82,1.80,0.20
8-May-2017,40.10,40.40,38.60,38.75,39.099075935467522594,591950,1719,23144698.00,360099,60.83,1.80,-1.35
5-May-2017,41.85,42.75,39.45,39.80,40.773123828411915009,1057859,4279,43132216.00,411326,38.88,3.30,-2.05
4-May-2017,43.35,43.60,41.60,41.75,42.264446472990197017,469959,1393,19862557.00,202856,43.16,2.00,-1.60
3-May-2017,43.05,44.00,42.85,43.20,43.378134968938885157,381184,1109,16535051.00,132386,34.73,1.15,0.15
2-May-2017,43.50,43.90,42.50,42.95,43.183707259429380209,299569,964,12936500.00,128834,43.01,1.40,-0.55
28-April-2017,43.80,44.10,43.15,43.30,43.533802542368416893,569469,1168,24791151.00,213578,37.50,0.95,-0.50
27-April-2017,43.45,44.10,43.00,43.40,43.504162061369460384,650519,1892,28300284.00,259643,39.91,1.10,-0.05
26-April-2017,42.95,44.70,42.40,43.30,43.729084022995125223,1771158,4551,77451117.00,525447,29.67,2.30,0.35
25-April-2017,43.80,43.80,42.50,42.65,43.075423442893308198,847694,1075,36514778.00,617304,72.82,1.30,-1.15
24-April-2017,43.75,44.05,43.10,43.30,43.528160981383837296,371720,1255,16180288.00,184732,49.70,0.95,-0.45
21-April-2017,42.25,45.50,42.10,43.70,44.143579602220642915,2427225,7531,107146400.00,834556,34.38,3.40,1.45
20-April-2017,40.20,43.15,39.80,42.00,41.762457833611380398,1496749,4482,62507917.00,399433,26.69,3.35,1.80
19-April-2017,40.00,40.50,39.80,39.95,40.107358579571048048,281943,847,11307989.00,104561,37.09,0.70,-0.05
18-April-2017,40.90,41.40,40.00,40.05,40.592459182121106536,407542,1087,16543132.00,215640,52.91,1.40,-0.85
17-April-2017,40.50,40.85,40.25,40.40,40.556576643695287763,268450,810,10887413.00,129223,48.14,0.60,-0.10
13-April-2017,40.80,41.60,40.50,40.65,40.943661740504354052,304429,934,12464438.00,91377,30.02,1.10,-0.15
12-April-2017,41.20,42.05,40.60,40.75,41.089493396951681609,365513,902,15018744.00,172375,47.16,1.45,-0.45
11-April-2017,40.90,41.75,40.70,41.30,41.330937511281181184,277010,941,11449083.00,120734,43.58,1.05,0.40
10-April-2017,41.30,41.70,40.70,40.80,41.108067880638967736,361458,1495,14858840.00,159222,44.05,1.00,-0.50
7-April-2017,42.70,42.70,41.00,41.20,41.687404358040390542,278382,844,11605023.00,160362,57.61,1.70,-1.50
6-April-2017,43.00,43.45,42.15,42.40,42.737908341868321690,261668,907,11183143.00,116198,44.41,1.30,-0.60
5-April-2017,42.45,43.85,42.45,43.25,43.329221933722099073,610822,1697,26466442.00,242034,39.62,1.40,0.80
3-April-2017,41.75,42.70,41.75,42.45,42.291882570730593993,236602,816,10006344.00,130548,55.18,0.95,0.70
31-March-2017,41.90,42.30,41.55,41.75,41.983976852676409290,320037,941,13436426.00,111240,34.76,0.75,-0.15
30-March-2017,42.10,42.40,41.60,41.80,42.013482753194985926,285995,1368,12015646.00,156019,54.55,0.80,-0.30
29-March-2017,40.45,42.00,40.05,41.75,41.155531707488087598,1026871,2333,42261422.00,566413,55.16,1.95,1.30
28-March-2017,41.60,41.60,40.30,40.40,40.926597055159502527,431059,954,17641778.00,301581,69.96,1.30,-1.20
27-March-2017,41.10,41.80,41.00,41.20,41.238513463986086214,300134,617,12377080.00,172111,57.34,0.80,0.10
24-March-2017,42.35,42.55,40.75,40.95,41.705107491969488384,577485,1569,24084074.00,282641,48.94,1.80,-1.40
23-March-2017,41.25,42.35,41.15,42.05,41.812038770463122394,505849,1050,21150578.00,334855,66.20,1.20,0.80
22-March-2017,41.10,41.35,40.70,41.05,41.046066256034626269,450525,1247,18492279.00,267715,59.42,0.65,-0.05
21-March-2017,41.30,42.35,40.90,41.55,41.623689170772806403,555469,1276,23120669.00,310198,55.84,1.45,0.25
20-March-2017,42.50,42.60,40.80,41.05,41.237110901813044502,424700,1594,17513401.00,232006,54.63,1.80,-1.45
17-March-2017,43.30,43.30,42.10,42.40,42.600032953754897294,273110,1291,11634495.00,162439,59.48,1.20,-0.90
16-March-2017,43.90,44.50,42.85,43.05,43.262698770188491588,939087,1214,40627438.00,701704,74.72,1.65,-0.85
15-March-2017,42.30,43.80,42.00,43.45,43.185395634836706163,387706,1175,16743237.00,157389,40.59,1.80,1.15
14-March-2017,43.35,43.80,41.90,42.05,42.515805494421268162,639303,1612,27180482.00,441437,69.05,1.90,-1.30
10-March-2017,43.95,44.10,42.60,42.75,43.139829833902322537,339198,1422,14632944.00,175868,51.85,1.50,-1.20
9-March-2017,43.90,44.50,43.50,43.70,43.912894448711453924,244772,912,10748647.00,100372,41.01,1.00,-0.20
8-March-2017,45.05,45.30,44.00,44.25,44.291677949952359460,398820,929,17664407.00,223367,56.01,1.30,-0.80
7-March-2017,45.20,45.50,44.60,44.95,45.042768404932391343,314087,850,14147348.00,131426,41.84,0.90,-0.25
6-March-2017,45.70,45.90,44.95,45.10,45.331257977150328425,256984,1214,11649408.00,108204,42.11,0.95,-0.60
3-March-2017,44.00,45.70,43.30,45.50,44.714588137371060689,470958,2176,21058693.00,137667,29.23,2.40,1.50
2-March-2017,46.10,46.60,44.00,44.10,45.434391036807871346,763478,2728,34688158.00,283765,37.17,2.60,-2.00
1-March-2017,44.30,46.50,43.80,45.75,45.359371110071594503,1261270,4626,57210414.00,382716,30.34,2.70,1.45
28-February-2017,43.60,44.50,43.00,43.80,43.617974833506401939,416983,1222,18187954.00,146178,35.06,1.50,0.20
27-February-2017,43.65,44.75,43.50,43.65,44.094943121141775764,328681,1344,14493170.00,121826,37.07,1.25,0.00
23-February-2017,43.80,44.65,43.30,43.65,43.980285445763119358,320271,1870,14085610.00,118916,37.13,1.35,-0.15
22-February-2017,44.55,45.25,43.70,43.90,44.299013876208628983,374598,2083,16594322.00,144075,38.46,1.55,-0.65
21-February-2017,44.90,45.20,44.15,44.30,44.617364707732752131,356044,1177,15885745.00,142399,39.99,1.05,-0.60
20-February-2017,45.60,45.65,44.55,44.75,44.942692579634157953,493601,1793,22183758.00,179447,36.35,1.10,-0.85
17-February-2017,44.30,46.30,43.35,45.45,45.065385592340535863,948787,3880,42757452.00,296604,31.26,2.95,1.15
16-February-2017,45.00,45.15,42.55,43.55,43.938852507178937991,1055170,3655,46362959.00,459478,43.55,2.60,-1.45
15-February-2017,46.20,46.45,43.85,44.05,44.806267811553761206,538976,2360,24149503.00,187169,34.73,2.60,-2.15
14-February-2017,47.90,48.00,46.10,46.45,46.950765350567894269,602665,2964,28295583.00,224143,37.19,1.90,-1.45
13-February-2017,48.30,49.30,46.60,48.10,47.983361848857252932,1559969,6525,74852557.00,398340,25.54,2.70,-0.20
10-February-2017,45.70,48.20,45.05,47.65,46.815625410814994661,3050339,6676,142803528.00,1315917,43.14,3.15,1.95
9-February-2017,46.20,47.10,45.05,45.35,45.974110574352587448,1271832,4435,58471345.00,431810,33.95,2.05,-0.85
8-February-2017,43.75,46.90,43.75,45.95,45.724218382438687003,3730245,15095,170562537.00,1049246,28.13,3.15,2.20
7-February-2017,39.70,44.10,39.35,43.10,42.515339617643349241,2608507,9945,110901561.00,912960,35.00,4.75,3.40
6-February-2017,39.65,40.15,39.30,39.55,39.725019413341349164,558894,1901,22202075.00,268707,48.08,0.85,-0.10
3-February-2017,39.75,40.45,39.05,39.20,39.582646078460610259,435913,2846,17254590.00,251790,57.76,1.40,-0.55
2-February-2017,40.90,40.90,39.50,39.80,40.140385793632042415,249719,1413,10023817.00,112647,45.11,1.40,-1.10
1-February-2017,41.50,41.75,39.75,40.30,40.597386194817220690,646873,2737,26261353.00,231066,35.72,2.00,-1.20
31-January-2017,41.35,41.70,39.50,39.70,40.636140187123586016,449970,2211,18285044.00,154975,34.44,2.20,-1.65
30-January-2017,41.25,42.20,41.00,41.35,41.547020873842667113,621256,2345,25811336.00,264261,42.54,1.20,0.10
27-January-2017,41.00,41.90,40.75,41.50,41.190936193368649684,645027,2276,26569266.00,302237,46.86,1.15,0.50
25-January-2017,40.95,40.95,39.85,40.05,40.330483284274321800,345842,1586,13947975.00,157052,45.41,1.10,-0.90
24-January-2017,39.15,41.40,38.60,40.70,40.392020204209933013,553548,2213,22358922.00,166346,30.05,2.80,1.55
23-January-2017,39.20,39.25,38.55,38.90,38.922999927014148828,95909,330,3733066.00,49598,51.71,0.70,-0.30
20-January-2017,40.00,40.00,38.80,39.00,39.435291090887684398,229327,1071,9043577.00,97436,42.49,1.20,-1.00
19-January-2017,38.20,40.20,38.05,39.60,39.333699591091704619,558805,2318,21979868.00,287861,51.51,2.15,1.40
18-January-2017,38.05,38.55,37.85,38.00,38.153953946905147524,142010,416,5418243.00,80667,56.80,0.70,-0.05
17-January-2017,38.25,38.30,37.80,37.85,38.020038725942482878,76951,225,2925680.00,54736,71.13,0.50,-0.40
16-January-2017,38.15,38.40,38.05,38.15,38.199161658582282098,125963,592,4811681.00,84727,67.26,0.35,0.00
13-January-2017,38.40,39.10,38.05,38.15,38.483479547942459797,194577,1153,7488000.00,72592,37.31,1.05,-0.25
12-January-2017,38.05,38.65,38.00,38.05,38.215444257919590343,82801,715,3164277.00,42748,51.63,0.65,0.00
11-January-2017,38.40,38.80,38.05,38.15,38.262565209193186817,95462,1128,3652621.00,62531,65.50,0.75,-0.25
10-January-2017,38.65,39.15,38.15,38.35,38.666686760151605343,132713,1008,5131572.00,76726,57.81,1.00,-0.30
9-January-2017,39.50,39.50,38.25,38.50,38.631700956244566792,89726,699,3466268.00,45782,51.02,1.25,-1.00
6-January-2017,40.00,40.65,38.85,39.00,39.618863463168315421,140409,1386,5562845.00,68908,49.08,1.80,-1.00
5-January-2017,39.25,40.00,38.95,39.70,39.576089584161336715,244061,1789,9658980.00,109757,44.97,1.05,0.45
4-January-2017,38.45,39.20,38.20,38.95,38.868830725073464088,146330,868,5687676.00,70864,48.43,1.00,0.50
3-January-2017,38.45,38.85,38.00,38.05,38.301194120289597676,95719,594,3666152.00,47177,49.29,0.85,-0.40
2-January-2017,38.10,38.40,37.85,38.05,38.064615679305317597,93971,597,3576970.00,43209,45.98,0.55,-0.05
30-December-2016,37.30,38.10,37.15,37.70,37.570449510547510176,183266,900,6885386.00,94859,51.76,0.95,0.40
29-December-2016,37.00,37.45,37.00,37.05,37.111327108945048325,109569,476,4066251.00,45603,41.62,0.45,0.05
28-December-2016,37.10,37.65,36.40,36.75,37.055234772135531978,112918,590,4184203.00,63575,56.30,1.25,-0.35
27-December-2016,36.50,37.10,36.15,36.95,36.648694106266721278,114749,573,4205401.00,59121,51.52,0.95,0.45
26-December-2016,36.25,36.60,35.70,36.40,36.215813485407581348,149050,798,5397967.00,91595,61.45,0.90,0.15
23-December-2016,36.60,36.70,36.00,36.25,36.357392559513740879,177354,845,6448129.00,69490,39.18,0.70,-0.35
22-December-2016,37.95,37.95,36.50,36.60,36.851285797936061971,186149,953,6859830.00,52430,28.17,1.45,-1.35
21-December-2016,37.05,37.70,36.30,37.45,37.003927844657922337,239317,1756,8855669.00,66973,27.99,1.40,0.40
20-December-2016,38.00,38.40,36.65,36.80,37.465459366012109184,257986,1117,9665564.00,115541,44.79,1.75,-1.20
19-December-2016,38.55,38.55,37.35,37.55,37.874197832199479193,134791,737,5105101.00,57836,42.91,1.20,-1.00
16-December-2016,39.15,39.35,38.20,38.35,38.837295524653815089,102763,489,3991037.00,53066,51.64,1.15,-0.80
15-December-2016,39.00,39.80,38.80,39.05,39.343455767060302839,132017,661,5194005.00,60518,45.84,1.00,0.05
14-December-2016,40.20,40.25,38.75,38.95,39.450463334763492080,272697,1117,10758023.00,105236,38.59,1.50,-1.25
13-December-2016,40.00,40.85,38.60,39.85,39.910399783856629237,614407,3329,24521229.00,178719,29.09,2.25,-0.15
12-December-2016,40.60,40.60,39.00,39.90,39.708417830893834974,240145,1502,9535778.00,89190,37.14,1.60,-0.70
9-December-2016,39.10,40.60,38.85,39.90,39.913767683106631684,925813,3851,36952685.00,276848,29.90,1.75,0.80
8-December-2016,36.35,38.50,36.20,38.20,37.601842925095811389,251014,1058,9438589.00,103408,41.20,2.30,1.85
7-December-2016,36.80,36.80,35.90,36.05,36.192233862571577303,61472,297,2224809.00,32187,52.36,0.90,-0.75
6-December-2016,36.40,37.10,36.00,36.25,36.643106490864395416,259534,628,9510132.00,180680,69.62,1.10,-0.15
5-December-2016,36.00,37.50,36.00,36.45,36.731382874209140566,305364,639,11216442.00,146187,47.87,1.50,0.45
2-December-2016,36.60,36.60,36.05,36.30,36.349199667941118009,85527,264,3108838.00,40281,47.10,0.55,-0.30
1-December-2016,37.20,37.20,36.55,36.65,36.753716491556156455,158281,418,5817415.00,77187,48.77,0.65,-0.55
30-November-2016,37.15,37.15,36.70,36.90,36.921741166611207650,162282,291,5991734.00,100876,62.16,0.45,-0.25
29-November-2016,36.95,37.30,36.10,36.95,36.908137909613293989,167414,547,6178939.00,51036,30.48,1.20,0.00
28-November-2016,37.30,37.40,36.25,36.40,36.940807502291735959,616345,788,22768282.00,471098,76.43,1.15,-0.90
25-November-2016,35.80,37.80,35.55,37.05,36.951927481305779963,342753,1236,12665384.00,103190,30.11,2.25,1.25
24-November-2016,34.75,35.90,34.75,35.70,35.397343518263311939,76191,300,2696959.00,34528,45.32,1.15,0.95
23-November-2016,35.35,36.00,34.50,35.45,35.016770323509086893,140367,617,4915199.00,42245,30.10,1.50,0.10
22-November-2016,34.15,35.35,33.85,35.20,34.768074039741920295,271854,720,9451840.00,206165,75.84,1.50,1.05
21-November-2016,35.30,35.55,33.00,33.90,34.022913918740675070,462470,1516,15734577.00,328384,71.01,2.55,-1.40
18-November-2016,36.25,36.40,35.05,35.25,35.601772706762070521,155130,480,5522903.00,119942,77.32,1.35,-1.00
17-November-2016,35.70,36.30,35.55,35.95,35.876592212590415207,160233,538,5748614.00,68218,42.57,0.75,0.25
16-November-2016,35.45,37.15,34.70,36.00,36.095691684458312804,310539,1220,11209120.00,134221,43.22,2.45,0.55
15-November-2016,36.60,36.80,34.35,34.80,35.355749774022115540,825302,1481,29179171.00,618881,74.99,2.45,-1.80
11-November-2016,37.05,37.05,36.00,36.40,36.376432185296803026,291338,1091,10597837.00,105588,36.24,1.05,-0.65
10-November-2016,38.50,38.65,37.25,37.45,37.869263503011050427,235466,823,8916924.00,81420,34.58,1.40,-1.05
9-November-2016,35.10,37.45,31.25,37.10,34.683894524853663586,903227,3700,31327430.00,381029,42.19,6.20,2.00
