Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,347.00,353.80,340.90,342.55,346.635563849640095974,11253,523,3900690.00,5345,47.50,12.90,-4.45
29-December-2016,338.00,351.80,338.00,350.00,346.042562423573034594,25351,1082,8772525.00,16103,63.52,13.80,12.00
28-December-2016,339.00,342.50,334.10,335.60,337.476047476047476047,6993,381,2359970.00,4401,62.93,8.40,-3.40
27-December-2016,332.20,336.00,330.00,334.25,333.757058125741399762,4215,258,1406786.00,2063,48.94,6.00,2.05
26-December-2016,345.00,345.00,331.00,331.70,335.201534083879747618,8083,465,2709434.00,3606,44.61,14.00,-13.30
23-December-2016,346.55,356.70,285.00,331.00,344.441721672167216721,36360,1189,12523901.00,6523,17.94,71.70,-15.55
22-December-2016,351.00,351.00,336.00,347.40,343.691385767790262172,8010,543,2752968.00,3933,49.10,15.00,-3.60
21-December-2016,348.00,356.00,345.00,350.80,351.076754984976782299,7322,433,2570584.00,4688,64.03,11.00,2.80
20-December-2016,347.20,354.00,346.00,346.65,349.414511771516788884,7773,390,2715999.00,3169,40.77,8.00,-0.55
19-December-2016,348.70,354.00,342.90,343.60,345.887980085348506401,2812,152,972637.00,2135,75.92,11.10,-5.10
16-December-2016,345.00,355.20,343.00,351.80,349.439265828005774386,4849,371,1694431.00,2519,51.95,12.20,6.80
15-December-2016,331.00,352.00,331.00,340.35,344.915896159317211948,5624,474,1939807.00,3013,53.57,21.00,9.35
14-December-2016,349.75,351.80,344.00,344.85,346.908141962421711899,2874,217,997014.00,1934,67.29,7.80,-4.90
13-December-2016,351.25,355.15,347.00,350.90,350.093679964141640519,4462,252,1562118.00,2643,59.23,8.15,-0.35
12-December-2016,359.95,359.95,350.15,351.20,353.223038268264398917,2587,174,913788.00,1521,58.79,9.80,-8.75
9-December-2016,357.65,362.00,351.30,354.45,354.521246458923512747,3883,304,1376606.00,2379,61.27,10.70,-3.20
8-December-2016,357.95,360.00,352.80,354.50,355.650000000000000000,2920,144,1038498.00,1785,61.13,7.20,-3.45
7-December-2016,359.95,361.95,352.00,354.90,356.736288504883546205,3993,243,1424448.00,2171,54.37,9.95,-5.05
6-December-2016,360.00,369.90,354.00,355.55,362.905028911862624846,11414,738,4142198.00,4339,38.01,15.90,-4.45
5-December-2016,360.00,364.20,354.35,357.25,360.599452668242318696,8039,557,2898859.00,1606,19.98,9.85,-2.75
2-December-2016,364.35,372.05,356.75,360.20,365.123581415762743745,15949,1178,5823356.00,2289,14.35,15.30,-4.15
1-December-2016,370.00,376.70,362.00,364.60,368.491162678850547072,8317,541,3064741.00,4063,48.85,14.70,-5.40
30-November-2016,366.70,368.85,365.45,366.75,367.216295427901524032,5118,265,1879413.00,2614,51.07,3.40,0.05
29-November-2016,369.95,373.30,360.05,362.60,367.499920672695541805,6303,330,2316352.00,2158,34.24,13.25,-7.35
28-November-2016,360.00,371.20,357.00,363.75,363.173790350333815128,14529,887,5276552.00,4170,28.70,14.20,3.75
25-November-2016,350.50,364.35,348.40,359.55,358.994890735610957217,16245,788,5831872.00,6151,37.86,15.95,9.05
24-November-2016,345.00,356.90,341.10,348.00,349.836037574722459436,10539,625,3686922.00,3628,34.42,15.80,3.00
23-November-2016,344.90,351.75,336.20,346.75,345.835122307411464037,13695,1293,4736212.00,4859,35.48,15.55,1.85
22-November-2016,338.90,344.90,325.10,341.35,334.490325593808380037,14988,1095,5013341.00,4409,29.42,19.80,2.45
21-November-2016,350.00,354.00,329.95,333.75,341.244629967823288981,11499,881,3923972.00,4009,34.86,24.05,-16.25
18-November-2016,355.50,357.95,345.00,347.40,350.259472687085569940,12668,1043,4437087.00,5906,46.62,12.95,-8.10
17-November-2016,353.50,367.95,351.65,358.30,360.254981646565285789,22884,1912,8244075.00,5875,25.67,16.30,4.80
16-November-2016,352.10,370.00,334.25,353.20,354.592839055414875449,50943,2659,18064023.00,13910,27.31,35.75,1.10
15-November-2016,361.00,361.00,337.25,341.45,346.308094418649956167,30799,3156,10665943.00,9428,30.61,23.75,-19.55
11-November-2016,370.90,379.90,358.10,360.90,365.416495730572914182,20963,1020,7660226.00,9472,45.18,21.80,-10.00
10-November-2016,399.00,399.00,374.00,376.50,384.507748049052396878,35880,1534,13796138.00,14894,41.51,25.00,-22.50
9-November-2016,348.00,369.55,310.00,367.05,353.057047104132721078,54008,2407,19067905.00,14275,26.43,59.55,19.05
8-November-2016,384.00,385.75,362.90,365.50,371.219495091164095371,22816,1023,8469744.00,12243,53.66,22.85,-18.50
7-November-2016,373.90,394.30,370.00,381.20,380.546801893171061528,36975,2027,14070718.00,9439,25.53,24.30,7.30
4-November-2016,381.90,384.55,355.00,365.85,366.216455584093525817,45164,2469,16539800.00,14702,32.55,29.55,-16.05
3-November-2016,399.60,407.80,378.90,381.55,392.072379417382999044,33504,2376,13135993.00,11963,35.71,28.90,-18.05
2-November-2016,399.00,408.00,391.15,395.80,399.418226266467472497,36815,2771,14704582.00,8746,23.76,16.85,-3.20
1-November-2016,402.20,424.80,398.10,401.60,412.665609942668780114,126807,6128,52328888.00,43081,33.97,26.70,-0.60
30-October-2016,377.30,403.45,377.30,397.40,396.696180855159230595,75331,1899,29883520.00,28138,37.35,26.15,20.10
28-October-2016,373.00,378.95,367.50,372.40,372.139667760025394138,18902,1386,7034184.00,7157,37.86,11.45,-0.60
27-October-2016,366.80,381.00,362.20,368.50,372.443119587795732283,37069,2702,13806094.00,9732,26.25,18.80,1.70
26-October-2016,355.05,389.00,343.10,364.45,373.444326937603867653,86047,4255,32133764.00,22856,26.56,45.90,9.40
25-October-2016,380.00,380.50,352.30,354.65,362.636636636636636636,33300,1879,12075800.00,16764,50.34,28.20,-25.35
24-October-2016,402.00,402.90,372.20,377.00,382.956042492890905113,105147,4008,40266679.00,32810,31.20,30.70,-25.00
21-October-2016,373.35,414.00,372.00,397.75,399.049466832395656155,305720,10298,121997403.00,57754,18.89,42.00,24.40
20-October-2016,293.10,351.50,293.10,351.50,337.722707953855494839,82350,2950,27811465.00,30824,37.43,58.40,58.40
19-October-2016,297.95,298.10,290.05,292.95,294.638943668009945983,11663,579,3436374.00,5753,49.33,8.05,-5.00
18-October-2016,1446.60,1471.00,1439.40,1456.10,1456.985400075843761850,5274,556,7684141.00,3028,57.41,31.60,9.50
17-October-2016,1430.00,1460.00,1420.00,1446.55,1442.056174957118353344,4664,759,6725750.00,2199,47.15,40.00,16.55
14-October-2016,1400.00,1430.00,1400.00,1423.45,1415.097348978704910908,2301,244,3256139.00,1525,66.28,30.00,23.45
13-October-2016,1401.60,1419.00,1371.30,1402.45,1400.570676691729323308,2660,370,3725518.00,1557,58.53,47.70,0.85
10-October-2016,1415.00,1420.00,1395.00,1400.25,1404.308602639963586709,2197,353,3085266.00,1379,62.77,25.00,-14.75
7-October-2016,1400.00,1416.35,1370.00,1391.10,1397.126878130217028380,2396,441,3347516.00,1065,44.45,46.35,-8.90
6-October-2016,1400.00,1405.00,1365.00,1373.90,1385.387938408896492728,2338,454,3239037.00,1371,58.64,40.00,-26.10
5-October-2016,1398.40,1413.00,1362.00,1373.90,1380.420607267297162767,2009,403,2773265.00,805,40.07,51.00,-24.50
4-October-2016,1430.00,1434.00,1355.00,1387.30,1392.120567375886524822,5076,807,7066404.00,1912,37.67,79.00,-42.70
3-October-2016,1315.00,1421.00,1315.00,1397.40,1371.302873145939217923,9641,1233,13220731.00,2346,24.33,106.00,82.40
30-September-2016,1296.55,1314.95,1281.50,1301.85,1298.829614604462474645,986,175,1280646.00,629,63.79,33.45,5.30
29-September-2016,1377.00,1383.40,1200.00,1273.95,1301.641538726927721235,5797,1052,7545616.00,3091,53.32,183.40,-103.05
28-September-2016,1341.55,1364.00,1341.55,1353.35,1354.784390791690061763,1781,183,2412871.00,1220,68.50,22.45,11.80
27-September-2016,1339.00,1340.00,1328.10,1331.65,1333.582978723404255319,1645,149,2193744.00,1315,79.94,11.90,-7.35
26-September-2016,1337.05,1355.70,1325.20,1328.45,1343.975539568345323741,2085,212,2802189.00,1642,78.75,30.50,-8.60
23-September-2016,1303.00,1354.00,1303.00,1336.70,1339.792922673656618610,2289,343,3066786.00,1328,58.02,51.00,33.70
22-September-2016,1325.00,1330.00,1306.95,1310.75,1312.957831325301204819,1162,167,1525657.00,586,50.43,23.05,-14.25
21-September-2016,1315.10,1335.00,1303.25,1309.10,1325.443517816527672479,1319,182,1748260.00,852,64.59,31.75,-6.00
20-September-2016,1334.05,1338.95,1305.00,1312.95,1321.323622881355932203,1888,339,2494659.00,889,47.09,33.95,-21.10
19-September-2016,1339.85,1362.35,1312.00,1323.15,1339.443471337579617834,2512,501,3364682.00,1025,40.80,50.35,-16.70
16-September-2016,1298.00,1337.00,1298.00,1329.70,1322.973564642709624122,2421,445,3202919.00,1279,52.83,39.00,31.70
15-September-2016,1304.15,1304.15,1276.10,1297.80,1290.525056095736724008,1337,311,1725432.00,546,40.84,28.05,-6.35
14-September-2016,1300.05,1314.95,1285.15,1296.10,1302.781532890766445383,1657,224,2158709.00,716,43.21,29.80,-3.95
12-September-2016,1275.00,1332.00,1250.00,1297.70,1300.942692136828076410,4502,596,5856844.00,2101,46.67,82.00,22.70
9-September-2016,1323.20,1353.50,1294.10,1315.05,1326.970076829761423372,2473,507,3281597.00,724,29.28,59.40,-8.15
8-September-2016,1330.00,1365.00,1305.10,1322.35,1331.674313521028849496,2877,587,3831227.00,1154,40.11,59.90,-7.65
7-September-2016,1319.95,1368.30,1308.00,1325.00,1339.718866517524235645,6705,1051,8982815.00,2365,35.27,60.30,5.05
6-September-2016,1238.00,1335.00,1229.20,1303.95,1298.282658693652253909,8696,1297,11289866.00,4342,49.93,105.80,65.95
2-September-2016,1181.50,1244.00,1180.00,1224.35,1221.208625138223368964,2713,424,3313139.00,1170,43.13,64.00,42.85
1-September-2016,1206.00,1218.50,1181.05,1187.40,1196.610707803992740471,1102,248,1318665.00,619,56.17,37.45,-18.60
31-August-2016,1212.40,1221.60,1195.00,1200.25,1203.988059701492537313,1340,230,1613344.00,968,72.24,26.60,-12.15
30-August-2016,1220.75,1230.00,1190.00,1202.60,1214.790884718498659517,1865,298,2265585.00,1404,75.28,40.00,-18.15
29-August-2016,1235.00,1250.00,1220.05,1224.90,1227.009264978381717109,1619,234,1986528.00,1037,64.05,29.95,-10.10
26-August-2016,1230.00,1235.00,1220.00,1227.15,1227.605858854860186418,1502,313,1843864.00,946,62.98,15.00,-2.85
25-August-2016,1236.70,1255.00,1217.80,1228.60,1237.460627177700348432,1435,335,1775756.00,615,42.86,37.20,-8.10
24-August-2016,1229.00,1260.00,1217.40,1239.50,1240.268207418916294426,5149,690,6386141.00,1211,23.52,42.60,10.50
23-August-2016,1221.00,1230.00,1202.15,1217.10,1218.859919028340080971,1235,208,1505292.00,762,61.70,27.85,-3.90
22-August-2016,1230.00,1230.00,1206.00,1222.60,1221.900751879699248120,1330,123,1625128.00,665,50.00,24.00,-7.40
19-August-2016,1185.00,1233.10,1182.00,1221.20,1214.217496375060415659,4138,429,5024432.00,1714,41.42,51.10,36.20
18-August-2016,1175.10,1212.00,1175.10,1193.70,1197.589723320158102766,1265,235,1514951.00,522,41.26,36.90,18.60
17-August-2016,1129.00,1182.95,1115.00,1174.45,1165.358353510895883777,2065,342,2406465.00,710,34.38,67.95,45.45
16-August-2016,1136.65,1141.00,1102.40,1124.45,1119.199483537766300839,1549,290,1733640.00,606,39.12,38.60,-12.20
12-August-2016,1170.00,1185.00,1130.75,1137.80,1146.435923653715064758,2934,439,3363643.00,1473,50.20,54.25,-32.20
11-August-2016,1182.00,1200.00,1154.40,1161.35,1177.797936085219707057,3004,445,3538105.00,1358,45.21,45.60,-20.65
10-August-2016,1206.25,1210.95,1176.40,1180.60,1185.154903185509056839,1601,195,1897433.00,803,50.16,34.55,-25.65
9-August-2016,1250.00,1250.00,1190.00,1201.90,1215.905320108205590622,3327,510,4045317.00,1472,44.24,60.00,-48.10
8-August-2016,1220.00,1270.00,1214.00,1237.15,1237.946992617693331719,8263,838,10229156.00,2915,35.28,56.00,17.15
